Variant Name,Variant SKU,Issued At,Realized COGS,Potential COGS,Realized Profit,Potential Profit,Realized Tax,Realized Discount,Potential Tax,Potential Discount,Total Sales,Quantity
Resist Advanced Pore-Refining Treatment 4% BHA (Salicylic Acid),7791,20/10/2017,421.61,0,177.89,0,0,0,0,0,599.5,19
8.4 ml,7730,31/10/2017,238.59,0,310.41,0,0,0,0,0,549,9
118 ml,6210,15/10/2017,214.56,0,301.44,0,0,0,0,0,516,12
118 ml,2010,27/10/2017,214.56,0,301.44,0,0,0,0,0,516,12
20 ml,7980,07/10/2017,206.4792,0,281.5208,0,0,0,0,0,488,8
20 ml,7770,23/10/2017,211.0416,0,264.9584,0,0,0,0,0,476,7
118 ml,2010,31/10/2017,196.68,0,276.32,0,0,0,0,0,473,11
118 ml,2010,26/10/2017,196.68,0,276.32,0,0,0,0,0,473,11
118 ml,2010,05/10/2017,178.8,0,251.2,0,0,0,0,0,430,10
20 ml,7980,31/10/2017,180.936,0,246.064,0,0,0,0,0,427,7
Perfect Cleansing Oil,3140,20/10/2017,249.75,0,146.25,0,0,0,0,0,396,15
88 ml,7820,01/10/2017,161.816,0,222.184,0,0,0,0,0,384,8
118 ml,7670,15/10/2017,148,0,232,0,0,0,0,0,380,10
20 ml,7860,07/10/2017,139.4705,0,230.5295,0,0,0,0,0,370,5
Clear Extra Strength Acne Kit,4750,02/10/2017,149.9456,0,210.0544,0,0,0,0,0,360,4
118 ml,2010,07/10/2017,143.04,0,200.96,0,0,0,0,0,344,8
118 ml,2010,14/10/2017,143.04,0,200.96,0,0,0,0,0,344,8
20 ml,7770,31/10/2017,150.744,0,189.256,0,0,0,0,0,340,5
20 ml,7770,25/10/2017,150.744,0,189.256,0,0,0,0,0,340,5
20 ml,7770,12/10/2017,149.5665,0,190.4335,0,0,0,0,0,340,5
60 ml,7690,31/10/2017,142.38,0,193.62,0,0,0,0,0,336,7
30 ml,7640,31/10/2017,140.58,0,189.42,0,0,0,0,0,330,6
Resist Advanced Pore-Refining Treatment 4% BHA (Salicylic Acid),7791,31/10/2017,155.33,0,155.42,0,0,0,0,0,310.75,7
190 ml,1350,31/10/2017,116.55,0,189.45,0,0,0,0,0,306,9
20 ml,7980,23/10/2017,129.24,0,175.76,0,0,0,0,0,305,5
15 ml,7870,07/10/2017,124.5576,0,179.4424,0,0,0,0,0,304,4
118 ml,2010,09/10/2017,125.16,0,175.84,0,0,0,0,0,301,7
60 ml,7760,03/10/2017,121.8648,0,166.1352,0,0,0,0,0,288,6
60 ml,7760,01/10/2017,121.8648,0,166.1352,0,0,0,0,0,288,6
88 ml,7820,15/10/2017,121.5592,0,166.4408,0,0,0,0,0,288,6
118 ml,2010,06/10/2017,125.16,0,158.64,0,0,0,0,0,283.8,7
Resist Advanced Pore-Refining Treatment 4% BHA (Salicylic Acid),7791,27/10/2017,110.95,0,164.05,0,0,0,0,0,275,5
30 ml,7740,28/10/2017,116.8055,0,158.1945,0,0,0,0,0,275,5
30 ml,7740,31/10/2017,116.8055,0,158.1945,0,0,0,0,0,275,5
20 ml,7770,07/10/2017,119.6532,0,152.3468,0,0,0,0,0,272,4
20 ml,7770,06/10/2017,119.6532,0,152.3468,0,0,0,0,0,272,4
20 ml,7770,03/10/2017,119.6532,0,152.3468,0,0,0,0,0,272,4
20 ml,7770,16/10/2017,120.5952,0,151.4048,0,0,0,0,0,272,4
20 ml,7770,09/10/2017,119.6532,0,152.3468,0,0,0,0,0,272,4
30 ml,8010,11/10/2017,102.9594,0,161.0406,0,0,0,0,0,264,3
15 ml,7850,10/10/2017,101.7,0,162.3,0,0,0,0,0,264,3
15 ml,7850,31/10/2017,101.7,0,162.3,0,0,0,0,0,264,3
118 ml,2010,30/10/2017,107.28,0,150.72,0,0,0,0,0,258,6
118 ml,2010,12/10/2017,107.28,0,150.72,0,0,0,0,0,258,6
60 ml,3400,02/10/2017,107.28,0,144.72,0,0,0,0,0,252,6
60 ml,1860,08/10/2017,107.28,0,144.72,0,0,0,0,0,252,6
8.4 ml,7730,07/10/2017,106.04,0,137.96,0,0,0,0,0,244,4
20 ml,7980,24/10/2017,103.392,0,140.608,0,0,0,0,0,244,4
20 ml,7980,15/10/2017,103.3158,0,140.6842,0,0,0,0,0,244,4
20 ml,7980,20/10/2017,103.392,0,140.608,0,0,0,0,0,244,4
88 ml,7820,06/10/2017,101.135,0,138.865,0,0,0,0,0,240,5
88 ml,7820,08/10/2017,101.135,0,138.865,0,0,0,0,0,240,5
Resist Anti-Aging Eye Gel,2140,09/10/2017,109.58,0,130.42,0,0,0,0,0,240,5
88 ml,7820,29/10/2017,101.3815,0,138.6185,0,0,0,0,0,240,5
88 ml,7820,24/10/2017,101.3815,0,138.6185,0,0,0,0,0,240,5
88 ml,7820,20/10/2017,101.3815,0,138.6185,0,0,0,0,0,240,5
60 ml,6130,01/10/2017,101.7,0,138.3,0,0,0,0,0,240,5
Resist Anti-Aging Eye Cream,7900,20/10/2017,183.06,0,54.54,0,0,0,0,0,237.6,9
Resist Omega+ Complex,2130,07/10/2017,95.8228,0,140.1772,0,0,0,0,0,236,4
Skin Recovery Advanced Kit,4550,01/10/2017,92.49,0,140.51,0,0,0,0,0,233,1
Skin Recovery Advanced Kit,4550,05/10/2017,92.49,0,140.51,0,0,0,0,0,233,1
Skin Balancing Advanced Kit,4600,20/10/2017,112.8716,0,116.1284,0,0,0,0,0,229,1
Skin Balancing Advanced Kit,4600,27/10/2017,112.8716,0,116.1284,0,0,0,0,0,229,1
15 ml,7870,01/10/2017,93.4182,0,134.5818,0,0,0,0,0,228,3
Resist Skin Firming Line Minimizer,7910,31/10/2017,187.5948,0,40.4052,0,0,0,0,0,228,3
Perfect Cleansing Oil,3140,31/10/2017,116.55,0,111.45,0,0,0,0,0,228,7
15 ml,7870,31/10/2017,94.4535,0,133.5465,0,0,0,0,0,228,3
30 ml,7740,07/10/2017,93.4444,0,126.5556,0,0,0,0,0,220,4
Resist Advanced Pore-Refining Treatment 4% BHA (Salicylic Acid),7791,25/10/2017,88.76,0,131.24,0,0,0,0,0,220,4
30 ml,7640,15/10/2017,93.72,0,126.28,0,0,0,0,0,220,4
Calm Sensitive Advanced Kit (Oily / Combination),4180,20/10/2017,97.1087,0,120.8913,0,0,0,0,0,218,1
118 ml,2010,16/10/2017,89.4,0,125.6,0,0,0,0,0,215,5
60 ml,3400,29/10/2017,89.4,0,120.6,0,0,0,0,0,210,5
60 ml,3400,31/10/2017,89.4,0,120.6,0,0,0,0,0,210,5
Power Couple - C15 & 5% AHA,4840,02/10/2017,100.494,0,107.506,0,0,0,0,0,208,2
20 ml,7770,24/10/2017,90.4464,0,113.5536,0,0,0,0,0,204,3
30 ml,7960,31/10/2017,81.9522,0,122.0478,0,0,0,0,0,204,3
20 ml,7770,20/10/2017,90.4464,0,113.5536,0,0,0,0,0,204,3
20 ml,7770,04/10/2017,89.7399,0,114.2601,0,0,0,0,0,204,3
30 ml,7960,03/10/2017,81.9522,0,122.0478,0,0,0,0,0,204,3
30 ml,7960,07/10/2017,81.9522,0,122.0478,0,0,0,0,0,204,3
30 ml,7960,28/10/2017,81.9522,0,122.0478,0,0,0,0,0,204,3
20 ml,7770,01/10/2017,89.7399,0,114.2601,0,0,0,0,0,204,3
20 ml,7770,22/10/2017,90.4464,0,113.5536,0,0,0,0,0,204,3
30 ml,7960,19/10/2017,81.9522,0,122.0478,0,0,0,0,0,204,3
473 ml,1151,31/10/2017,64.12,0,135.88,0,0,0,0,0,200,4
Resist Anti-Aging Eye Gel,2140,02/10/2017,87.664,0,104.336,0,0,0,0,0,192,4
88 ml,7820,31/10/2017,81.1052,0,110.8948,0,0,0,0,0,192,4
88 ml,7820,13/10/2017,80.908,0,111.092,0,0,0,0,0,192,4
88 ml,7820,05/10/2017,80.908,0,111.092,0,0,0,0,0,192,4
88 ml,7820,02/10/2017,80.908,0,111.092,0,0,0,0,0,192,4
88 ml,7820,07/10/2017,80.908,0,111.092,0,0,0,0,0,192,4
88 ml,7820,25/10/2017,81.1052,0,110.8948,0,0,0,0,0,192,4
60 ml,7760,10/10/2017,81.2432,0,110.7568,0,0,0,0,0,192,4
60 ml,7760,07/10/2017,81.2432,0,110.7568,0,0,0,0,0,192,4
118 ml,7780,23/10/2017,74,0,116,0,0,0,0,0,190,5
Refreshing Moisture Mist,2150,02/10/2017,83.25,0,106.75,0,0,0,0,0,190,5
177 ml,6002,29/10/2017,55.9853,0,133.0147,0,0,0,0,0,189,7
20 ml,7860,23/10/2017,112.6332,0,76.0668,0,0,18.5,0,0,188.7,4
20 ml,7980,27/10/2017,77.544,0,105.456,0,0,0,0,0,183,3
20 ml,7980,18/10/2017,77.544,0,105.456,0,0,0,0,0,183,3
20 ml,7980,16/10/2017,77.544,0,105.456,0,0,0,0,0,183,3
20 ml,7980,11/10/2017,77.4297,0,105.5703,0,0,0,0,0,183,3
20 ml,7980,05/10/2017,77.4297,0,105.5703,0,0,0,0,0,183,3
8.4 ml,7730,27/10/2017,79.53,0,103.47,0,0,0,0,0,183,3
20 ml,7980,06/10/2017,77.4297,0,105.5703,0,0,0,0,0,183,3
8.4 ml,7730,23/10/2017,79.53,0,103.47,0,0,0,0,0,183,3
8.4 ml,7730,02/10/2017,79.53,0,103.47,0,0,0,0,0,183,3
20 ml,7980,09/10/2017,77.4297,0,105.5703,0,0,0,0,0,183,3
8.4 ml,7730,16/10/2017,79.53,0,103.47,0,0,0,0,0,183,3
210 ml,5700,07/10/2017,64.1192,0,115.8808,0,0,0,0,0,180,4
190 ml,7600,31/10/2017,72.4395,0,107.5605,0,0,0,0,0,180,5
210 ml,5700,02/10/2017,64.1192,0,115.8808,0,0,0,0,0,180,4
Clear Regular Strength Acne Kit,4700,16/10/2017,71.3096,0,104.6904,0,0,0,0,0,176,2
30 ml,8010,02/10/2017,68.6396,0,107.3604,0,0,0,0,0,176,2
Clear Regular Strength Acne Kit,4700,19/10/2017,71.3096,0,104.6904,0,0,0,0,0,176,2
30 ml,8010,14/10/2017,68.8338,0,107.1662,0,0,0,0,0,176,2
30 ml,8010,24/10/2017,68.8338,0,107.1662,0,0,0,0,0,176,2
30 ml,8010,28/10/2017,68.8338,0,107.1662,0,0,0,0,0,176,2
15 ml,7850,21/10/2017,67.8,0,108.2,0,0,0,0,0,176,2
Clear Regular Strength Acne Kit,4700,30/10/2017,71.3096,0,104.6904,0,0,0,0,0,176,2
Clear Regular Strength Acne Kit,4700,02/10/2017,71.302,0,104.698,0,0,0,0,0,176,2
15 ml,7850,23/10/2017,67.8,0,108.2,0,0,0,0,0,176,2
118 ml,2010,22/10/2017,71.52,0,100.48,0,0,0,0,0,172,4
100 ml,2051,14/10/2017,75.4728,0,96.5272,0,0,0,0,0,172,4
118 ml,2010,29/10/2017,71.52,0,100.48,0,0,0,0,0,172,4
100 ml,2040,31/10/2017,71.52,0,100.48,0,0,0,0,0,172,4
118 ml,2010,08/10/2017,71.52,0,100.48,0,0,0,0,0,172,4
118 ml,2010,11/10/2017,71.52,0,100.48,0,0,0,0,0,172,4
118 ml,6210,31/10/2017,71.52,0,100.48,0,0,0,0,0,172,4
118 ml,2010,15/10/2017,71.52,0,100.48,0,0,0,0,0,172,4
118 ml,2010,03/10/2017,71.52,0,100.48,0,0,0,0,0,172,4
118 ml,2010,02/10/2017,71.52,0,100.48,0,0,0,0,0,172,4
190 ml,1350,28/10/2017,64.75,0,105.25,0,0,0,0,0,170,5
Resist Ultimate Brightening Trio,4940,29/10/2017,76.3997,0,93.6003,0,0,0,0,0,170,1
Resist Ultimate Brightening Trio,4940,02/10/2017,76.0748,0,93.9252,0,0,0,0,0,170,1
Resist Ultimate Brightening Trio,4940,28/10/2017,76.3997,0,93.6003,0,0,0,0,0,170,1
60 ml,1860,27/10/2017,71.52,0,96.48,0,0,0,0,0,168,4
30 ml,7740,25/10/2017,70.0833,0,94.9167,0,0,0,0,0,165,3
30 ml,7740,01/10/2017,70.0833,0,94.9167,0,0,0,0,0,165,3
Resist Advanced Pore-Refining Treatment 4% BHA (Salicylic Acid),7791,16/10/2017,66.57,0,98.43,0,0,0,0,0,165,3
Resist Advanced Pore-Refining Treatment 4% BHA (Salicylic Acid),7791,26/10/2017,66.57,0,98.43,0,0,0,0,0,165,3
30 ml,7740,09/10/2017,70.0833,0,94.9167,0,0,0,0,0,165,3
Resist Advanced Pore-Refining Treatment 4% BHA (Salicylic Acid),7791,22/10/2017,66.57,0,98.43,0,0,0,0,0,165,3
Resist Advanced Pore-Refining Treatment 4% BHA (Salicylic Acid),7791,21/10/2017,66.57,0,98.43,0,0,0,0,0,165,3
118 ml,6200,27/10/2017,66.6,0,97.4,0,0,0,0,0,164,4
Clear Acne Body Spray 2% BHA (Salicylic Acid),6240,31/10/2017,61.64,0,102.36,0,0,0,0,0,164,4
118 ml,6200,01/10/2017,66.6,0,97.4,0,0,0,0,0,164,4
PC4men Kit,4950,02/10/2017,68.43,0,87.57,0,0,0,0,0,156,1
50 ml,7660,07/10/2017,61.0011,0,91.9989,0,0,0,0,0,153,3
118 ml,7780,12/10/2017,59.2,0,92.8,0,0,0,0,0,152,4
15 ml,7870,24/10/2017,62.969,0,89.031,0,0,0,0,0,152,2
118 ml,7780,31/10/2017,59.2,0,92.8,0,0,0,0,0,152,4
15 ml,7870,27/10/2017,62.969,0,89.031,0,0,0,0,0,152,2
118 ml,7780,16/10/2017,59.2,0,92.8,0,0,0,0,0,152,4
118 ml,7670,31/10/2017,59.2,0,92.8,0,0,0,0,0,152,4
473 ml,1151,17/10/2017,48.09,0,101.91,0,0,0,0,0,150,3
20 ml,7860,31/10/2017,56.3166,0,91.6834,0,0,0,0,0,148,2
20 ml,7860,10/10/2017,55.7882,0,92.2118,0,0,0,0,0,148,2
20 ml,7860,11/10/2017,55.7882,0,92.2118,0,0,0,0,0,148,2
20 ml,7860,02/10/2017,55.7882,0,92.2118,0,0,0,0,0,148,2
20 ml,7860,05/10/2017,55.7882,0,92.2118,0,0,0,0,0,148,2
20 ml,7860,12/10/2017,55.7882,0,92.2118,0,0,0,0,0,148,2
190 ml,7830,31/10/2017,46.88,0,97.12,0,0,0,0,0,144,4
88 ml,7820,12/10/2017,60.681,0,83.319,0,0,0,0,0,144,3
Resist Anti-Aging Eye Gel,2140,14/10/2017,65.748,0,78.252,0,0,0,0,0,144,3
60 ml,6130,09/10/2017,61.02,0,82.98,0,0,0,0,0,144,3
Perfect Cleansing Oil,3140,26/10/2017,49.95,0,94.05,0,0,0,0,0,144,3
50 ml,7610,02/10/2017,61.02,0,82.98,0,0,0,0,0,144,3
Resist Anti-Aging Eye Cream,7900,22/10/2017,61.02,0,82.98,0,0,0,0,0,144,3
50 ml,7610,29/10/2017,61.02,0,82.98,0,0,0,0,0,144,3
60 ml,7760,30/10/2017,60.9543,0,83.0457,0,0,0,0,0,144,3
88 ml,7820,09/10/2017,60.681,0,83.319,0,0,0,0,0,144,3
50 ml,7810,28/10/2017,60.5724,0,83.4276,0,0,0,0,0,144,3
60 ml,7970,02/10/2017,65.94,0,78.06,0,0,0,0,0,144,3
Resist Anti-Aging Eye Cream,7900,29/10/2017,61.02,0,82.98,0,0,0,0,0,144,3
60 ml,6130,21/10/2017,61.02,0,82.98,0,0,0,0,0,144,3
Resist Anti-Aging Eye Cream,7900,05/10/2017,61.02,0,82.98,0,0,0,0,0,144,3
Perfect Cleansing Oil,3140,27/10/2017,49.95,0,94.05,0,0,0,0,0,144,3
Resist Anti-Aging Eye Cream,7900,28/10/2017,61.02,0,82.98,0,0,0,0,0,144,3
60 ml,7760,09/10/2017,60.9324,0,83.0676,0,0,0,0,0,144,3
60 ml,7690,24/10/2017,61.02,0,82.98,0,0,0,0,0,144,3
50 ml,7660,06/10/2017,61.0011,0,79.2489,0,0,12.75,0,0,140.25,3
118 ml,5800,26/10/2017,51.78,0,86.22,0,0,0,0,0,138,3
20 ml,7770,05/10/2017,59.8266,0,76.1734,0,0,0,0,0,136,2
30 ml,7960,05/10/2017,54.6348,0,81.3652,0,0,0,0,0,136,2
20 ml,7770,13/10/2017,59.8266,0,76.1734,0,0,0,0,0,136,2
Skin Balancing Essential Kit,4090,05/10/2017,65.9789,0,70.0211,0,0,0,0,0,136,1
20 ml,7770,29/10/2017,60.2976,0,75.7024,0,0,0,0,0,136,2
190 ml,1350,06/10/2017,51.8,0,84.2,0,0,0,0,0,136,4
Skin Balancing Essential Kit,4090,19/10/2017,65.4016,0,70.5984,0,0,0,0,0,136,1
20 ml,7770,02/10/2017,59.8266,0,76.1734,0,0,0,0,0,136,2
20 ml,7770,11/10/2017,59.8266,0,76.1734,0,0,0,0,0,136,2
30 ml,7960,13/10/2017,54.6348,0,81.3652,0,0,0,0,0,136,2
190 ml,1350,01/10/2017,51.8,0,84.2,0,0,0,0,0,136,4
190 ml,1350,14/10/2017,51.8,0,84.2,0,0,0,0,0,136,4
30 ml,7960,01/10/2017,54.6348,0,81.3652,0,0,0,0,0,136,2
20 ml,7770,14/10/2017,60.0621,0,75.9379,0,0,0,0,0,136,2
20 ml,7770,15/10/2017,149.5665,0,-13.5665,0,0,204,0,0,136,5
20 ml,7770,08/10/2017,59.8266,0,76.1734,0,0,0,0,0,136,2
210 ml,5700,12/10/2017,48.0894,0,86.9106,0,0,0,0,0,135,3
210 ml,5700,23/10/2017,48.0894,0,86.9106,0,0,0,0,0,135,3
210 ml,5700,01/10/2017,48.0894,0,86.9106,0,0,0,0,0,135,3
177 ml,6002,03/10/2017,39.9705,0,95.0295,0,0,0,0,0,135,5
210 ml,5700,04/10/2017,48.0894,0,86.9106,0,0,0,0,0,135,3
210 ml,5900,23/10/2017,51.78,0,83.22,0,0,0,0,0,135,3
100 ml,2040,14/10/2017,53.64,0,75.36,0,0,0,0,0,129,3
100 ml,2040,03/10/2017,53.64,0,75.36,0,0,0,0,0,129,3
100 ml,2040,06/10/2017,53.64,0,75.36,0,0,0,0,0,129,3
118 ml,6210,04/10/2017,53.64,0,75.36,0,0,0,0,0,129,3
100 ml,1900,27/10/2017,53.64,0,75.36,0,0,0,0,0,129,3
Resist Smoothing Primer Serum SPF 30,91580,26/10/2017,55.1874,0,73.8126,0,0,0,0,0,129,3
118 ml,2010,21/10/2017,53.64,0,75.36,0,0,0,0,0,129,3
50 ml,8740,28/10/2017,61.02,0,64.98,0,0,0,0,0,126,3
60 ml,3500,30/10/2017,53.61,0,72.39,0,0,0,0,0,126,3
60 ml,1720,22/10/2017,53.61,0,72.39,0,0,0,0,0,126,3
60 ml,1710,31/10/2017,57.96,0,68.04,0,0,0,0,0,126,3
60 ml,3400,09/10/2017,53.64,0,72.36,0,0,0,0,0,126,3
60 ml,3400,04/10/2017,53.64,0,72.36,0,0,0,0,0,126,3
60 ml,1560,11/10/2017,57.3567,0,68.6433,0,0,0,0,0,126,3
60 ml,1720,19/10/2017,53.61,0,72.39,0,0,0,0,0,126,3
60 ml,3400,26/10/2017,53.64,0,72.36,0,0,0,0,0,126,3
473 ml,1101,23/10/2017,48.06,0,76.94,0,0,25,0,0,125,3
Clear Acne Body Spray 2% BHA (Salicylic Acid),6240,11/10/2017,46.23,0,76.77,0,0,0,0,0,123,3
118 ml,6200,02/10/2017,49.95,0,73.05,0,0,0,0,0,123,3
118 ml,6200,22/10/2017,49.95,0,73.05,0,0,0,0,0,123,3
118 ml,6200,30/10/2017,49.95,0,73.05,0,0,0,0,0,123,3
118 ml,6200,31/10/2017,49.95,0,73.05,0,0,0,0,0,123,3
118 ml,6200,03/10/2017,49.95,0,73.05,0,0,0,0,0,123,3
8.4 ml,7730,08/10/2017,53.02,0,68.98,0,0,0,0,0,122,2
20 ml,7980,22/10/2017,51.696,0,70.304,0,0,0,0,0,122,2
20 ml,7980,21/10/2017,51.696,0,70.304,0,0,0,0,0,122,2
20 ml,7980,30/10/2017,51.696,0,70.304,0,0,0,0,0,122,2
20 ml,7980,02/10/2017,51.6198,0,70.3802,0,0,0,0,0,122,2
8.4 ml,7730,05/10/2017,53.02,0,68.98,0,0,0,0,0,122,2
8.4 ml,7730,18/10/2017,53.02,0,68.98,0,0,0,0,0,122,2
20 ml,7980,12/10/2017,51.6198,0,70.3802,0,0,0,0,0,122,2
20 ml,7980,08/10/2017,51.6198,0,70.3802,0,0,0,0,0,122,2
20 ml,7980,01/10/2017,51.6198,0,70.3802,0,0,0,0,0,122,2
20 ml,7980,28/10/2017,51.696,0,70.304,0,0,0,0,0,122,2
100 ml,9100,31/10/2017,49.95,0,70.05,0,0,0,0,0,120,3
30 ml,7710,31/10/2017,51.765,0,68.235,0,0,0,0,0,120,2
30 ml,7710,10/10/2017,51.5862,0,68.4138,0,0,0,0,0,120,2
Power Couple - C15 & Retinol Serum,4820,07/10/2017,55.7064,0,63.2936,0,0,0,0,0,119,1
Power Couple - C15 & Retinol Serum,4820,20/10/2017,56.0313,0,62.9687,0,0,0,0,0,119,1
Power Couple - C15 & Retinol Serum,4820,23/10/2017,56.0313,0,62.9687,0,0,0,0,0,119,1
Power Couple - C15 & Skin Brightening Treatment,4830,31/10/2017,50.5172,0,67.4828,0,0,0,0,0,118,1
Resist Omega+ Complex,2130,05/10/2017,47.9114,0,70.0886,0,0,0,0,0,118,2
50ml,2760,07/10/2017,44.38,0,71.62,0,0,0,0,0,116,2
50ml,2760,21/10/2017,44.38,0,71.62,0,0,0,0,0,116,2
118 ml,7670,02/10/2017,44.4,0,69.6,0,0,0,0,0,114,3
118 ml,7670,19/10/2017,44.4,0,69.6,0,0,0,0,0,114,3
118 ml,7670,06/10/2017,44.4,0,69.6,0,0,0,0,0,114,3
118 ml,7670,29/10/2017,44.4,0,69.6,0,0,0,0,0,114,3
118 ml,7780,10/10/2017,44.4,0,69.6,0,0,0,0,0,114,3
20 ml,7840,31/10/2017,40.2534,0,71.7466,0,0,0,0,0,112,2
118 ml,2800,27/10/2017,44.4,0,66.6,0,0,0,0,0,111,3
30 ml,7740,24/10/2017,46.7222,0,63.2778,0,0,0,0,0,110,2
60 ml,7650,03/10/2017,44.38,0,65.62,0,0,0,0,0,110,2
30 ml,7640,13/10/2017,46.86,0,63.14,0,0,0,0,0,110,2
Resist Advanced Pore-Refining Treatment 4% BHA (Salicylic Acid),7791,28/10/2017,44.38,0,65.62,0,0,0,0,0,110,2
30 ml,7740,20/10/2017,46.7222,0,63.2778,0,0,0,0,0,110,2
30 ml,7740,19/10/2017,46.7222,0,63.2778,0,0,0,0,0,110,2
30 ml,7740,12/10/2017,46.7222,0,63.2778,0,0,0,0,0,110,2
60 ml,7650,09/10/2017,44.38,0,65.62,0,0,0,0,0,110,2
30 ml,7640,10/10/2017,46.86,0,63.14,0,0,0,0,0,110,2
44 ml,7790,25/10/2017,44.3676,0,65.6324,0,0,0,0,0,110,2
30 ml,7740,13/10/2017,46.7222,0,63.2778,0,0,0,0,0,110,2
44 ml,7790,22/10/2017,44.3676,0,65.6324,0,0,0,0,0,110,2
30 ml,7740,29/10/2017,46.7222,0,63.2778,0,0,0,0,0,110,2
30 ml,7740,15/10/2017,46.7222,0,63.2778,0,0,0,0,0,110,2
30 ml,7640,27/10/2017,46.86,0,63.14,0,0,0,0,0,110,2
30 ml,7640,02/10/2017,46.86,0,63.14,0,0,0,0,0,110,2
30 ml,7740,04/10/2017,46.7222,0,63.2778,0,0,0,0,0,110,2
60 ml,1860,31/10/2017,53.64,0,55.56,0,0,0,0,0,109.2,3
Power Couple - C15 & Ultra-Light Serum,4890,10/10/2017,53.2744,0,55.7256,0,0,0,0,0,109,1
Power Couple - C15 & Resist Superantioxidant Serum,4910,11/10/2017,53.3433,0,55.6567,0,0,0,0,0,109,1
Power Couple - C15 & Ultra-Light Serum,4890,01/10/2017,53.2744,0,55.7256,0,0,0,0,0,109,1
Power Couple - C15 & Resist Superantioxidant Serum,4910,01/10/2017,53.3433,0,55.6567,0,0,0,0,0,109,1
Power Couple - C15 & Ultra-Light Serum,4890,20/10/2017,53.5099,0,55.4901,0,0,0,0,0,109,1
Power Couple - C15 & Resist Superantioxidant Serum,4910,31/10/2017,53.5788,0,55.4212,0,0,0,0,0,109,1
Power Couple - C15 & Ultra-Light Serum,4890,08/10/2017,53.2744,0,55.7256,0,0,0,0,0,109,1
Power Couple - C15 & Ultra-Light Serum,4890,07/10/2017,53.2744,0,55.7256,0,0,0,0,0,109,1
190 ml,7830,29/10/2017,35.16,0,72.84,0,0,0,0,0,108,3
190 ml,7600,14/10/2017,43.4637,0,64.5363,0,0,0,0,0,108,3
30 ml,3600,30/10/2017,58.2684,0,49.7316,0,0,0,0,0,108,3
30 ml,3600,19/10/2017,58.2684,0,49.7316,0,0,0,0,0,108,3
177 ml,6002,31/10/2017,31.9916,0,76.0084,0,0,0,0,0,108,4
190 ml,7830,05/10/2017,35.16,0,72.84,0,0,0,0,0,108,3
190 ml,7830,07/10/2017,35.16,0,72.84,0,0,0,0,0,108,3
Power Couple - C15 & Skin Balancing Serum,4930,08/10/2017,50.8733,0,55.1267,0,0,0,0,0,106,1
Power Couple - C15 & Skin Balancing Serum,4930,04/10/2017,50.8733,0,55.1267,0,0,0,0,0,106,1
Power Couple - C15 & Skin Balancing Serum,4930,07/10/2017,50.8733,0,55.1267,0,0,0,0,0,106,1
Power Couple - C15 & Skin Balancing Serum,4930,21/10/2017,51.1088,0,54.8912,0,0,0,0,0,106,1
30 ml,7827,29/10/2017,21.623,0,83.377,0,0,0,0,0,105,7
Power Couple - C15 & 5% AHA,4840,16/10/2017,50.4825,0,53.5175,0,0,0,0,0,104,1
Power Couple - C15 & 5% AHA,4840,18/10/2017,50.4825,0,53.5175,0,0,0,0,0,104,1
Power Couple - C15 & 5% AHA,4840,24/10/2017,50.4825,0,53.5175,0,0,0,0,0,104,1
237 ml,1150,04/10/2017,33.3,0,68.7,0,0,0,0,0,102,3
190 ml,1350,04/10/2017,38.85,0,63.15,0,0,0,0,0,102,3
30 ml,3700,07/10/2017,41.6248,0,60.3752,0,0,0,0,0,102,2
190 ml,1250,31/10/2017,38.85,0,63.15,0,0,0,0,0,102,3
50 ml,7660,09/10/2017,40.6674,0,61.3326,0,0,0,0,0,102,2
50 ml,7660,11/10/2017,40.6674,0,61.3326,0,0,0,0,0,102,2
190 ml,1350,05/10/2017,38.85,0,63.15,0,0,0,0,0,102,3
50 ml,7660,01/10/2017,40.6674,0,61.3326,0,0,0,0,0,102,2
30 ml,3700,31/10/2017,41.6248,0,60.3752,0,0,0,0,0,102,2
190 ml,1350,22/10/2017,38.85,0,63.15,0,0,0,0,0,102,3
190 ml,1350,20/10/2017,38.85,0,63.15,0,0,0,0,0,102,3
190 ml,1350,03/10/2017,38.85,0,63.15,0,0,0,0,0,102,3
190 ml,1350,26/10/2017,38.85,0,63.15,0,0,0,0,0,102,3
190 ml,1350,27/10/2017,38.85,0,63.15,0,0,0,0,0,102,3
30 ml,3700,09/10/2017,41.6248,0,60.3752,0,0,0,0,0,102,2
50 ml,7660,15/10/2017,40.6674,0,61.3326,0,0,0,0,0,102,2
473 ml,1151,16/10/2017,32.06,0,67.94,0,0,0,0,0,100,2
473 ml,1101,26/10/2017,32.04,0,67.96,0,0,0,0,0,100,2
Big Little Kit,8725,02/10/2017,40.68,0,57.32,0,0,0,0,0,98,2
30 ml,3350,31/10/2017,41.92,0,54.08,0,0,0,0,0,96,2
Resist Anti-Aging Eye Gel,2140,31/10/2017,43.832,0,52.168,0,0,0,0,0,96,2
60 ml,7800,07/10/2017,40.68,0,55.32,0,0,0,0,0,96,2
30 ml,3350,09/10/2017,41.92,0,54.08,0,0,0,0,0,96,2
60 ml,7690,07/10/2017,40.68,0,55.32,0,0,0,0,0,96,2
Resist Anti-Aging Eye Gel,2140,01/10/2017,43.832,0,52.168,0,0,0,0,0,96,2
